Date,Day, LunarPhase 
3/28/2017,30 ,0.995828021
3/29/2017,1 ,0.029839583
3/30/2017,2 ,0.06386691
3/31/2017,3 ,0.097894237
4/1/2017,4 ,0.131921565
4/2/2017,5 ,0.165948892
4/3/2017,6 ,0.199976219
4/4/2017,7 ,0.234003546
4/5/2017,8 ,0.268030874
4/6/2017,9 ,0.302058201
4/7/2017,10 ,0.336085528
4/8/2017,11 ,0.370112855
4/9/2017,12 ,0.404140182
4/10/2017,13 ,0.43816751
4/11/2017,14 ,0.472194837
4/12/2017,15 ,0.506222164
4/13/2017,16 ,0.540249491
4/14/2017,17 ,0.574276818
4/15/2017,18 ,0.608304146
4/16/2017,19 ,0.642331473
4/17/2017,20 ,0.6763588
4/18/2017,21 ,0.710386127
4/19/2017,22 ,0.744413454
4/20/2017,23 ,0.778440782
4/21/2017,24 ,0.812468109
4/22/2017,25 ,0.846495436
4/23/2017,26 ,0.880522763
4/24/2017,27 ,0.914550091
4/25/2017,28 ,0.948577418
4/26/2017,29 ,0.982604745
4/27/2017,1 ,0.016675661
4/28/2017,2 ,0.050792167
4/29/2017,3 ,0.084908673
4/30/2017,4 ,0.119025178
5/1/2017,5 ,0.153141684
5/2/2017,6 ,0.18725819
5/3/2017,7 ,0.221374695
5/4/2017,8 ,0.255491201
5/5/2017,9 ,0.289607707
5/6/2017,10 ,0.323724212
5/7/2017,11 ,0.357840718
5/8/2017,12 ,0.391957224
5/9/2017,13 ,0.42607373
5/10/2017,14 ,0.460190235
5/11/2017,15 ,0.494306741
5/12/2017,16 ,0.528423247
5/13/2017,17 ,0.562539752
5/14/2017,18 ,0.596656258
5/15/2017,19 ,0.630772764
5/16/2017,20 ,0.664889269
5/17/2017,21 ,0.699005775
5/18/2017,22 ,0.733122281
5/19/2017,23 ,0.767238786
5/20/2017,24 ,0.801355292
5/21/2017,25 ,0.835471798
5/22/2017,26 ,0.869588303
5/23/2017,27 ,0.903704809
5/24/2017,28 ,0.937821315
5/25/2017,29 ,0.97193782
5/26/2017,1 ,0.006060367
